Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.062,-0.007,5940.763,44538.142,545.016,5940.986,89.073,89.075,89.075,89.074,5940.775,5940.867,5940.763,5940.986,365.339,363.645,365.339,364.767,0.011,0.362,-0.572,-0.221,0.011,0.881,0.348,0.521,1,1,lock_on,search
0.200,44465.055,-0.031,5941.213,44465.394,545.482,5943.239,88.927,88.929,88.930,88.928,5941.226,5942.565,5941.213,5943.239,364.728,361.150,364.728,363.076,0.215,0.566,-1.157,-0.806,0.215,3.024,0.145,2.664,1,1,lock_on,search
0.400,44392.160,-0.058,5941.703,44393.138,547.412,5947.531,88.782,88.784,88.785,88.784,5941.716,5946.263,5941.703,5947.531,364.276,358.050,364.276,361.045,0.145,0.498,-1.641,-1.288,0.145,5.015,0.216,4.654,1,1,lock_on,lock_on
0.600,44319.366,-0.084,5942.123,44321.452,551.545,5953.062,88.636,88.640,88.641,88.642,5942.136,5952.011,5942.123,5953.062,363.658,354.923,363.658,359.175,0.333,0.689,-2.726,-2.369,0.333,8.687,0.029,8.325,1,1,lock_on,lock_on
0.800,44246.685,-0.093,5942.562,44250.285,558.122,5958.893,88.491,88.496,88.498,88.500,5942.575,5959.817,5942.562,5958.893,363.213,351.658,363.213,358.107,0.244,0.606,-3.972,-3.611,0.244,10.418,0.120,10.054,1,1,lock_on,lock_on
1.000,44174.102,-0.087,5942.920,44179.339,565.863,5964.611,88.346,88.353,88.357,88.360,5942.933,5969.639,5942.920,5964.611,362.608,348.107,362.609,357.950,0.426,0.793,-5.113,-4.746,0.426,5.020,0.059,4.653,1,1,lock_on,lock_on
1.200,44101.628,-0.050,5943.293,44108.330,573.175,5970.205,88.201,88.209,88.216,88.221,5943.306,5981.692,5943.293,5970.205,362.184,344.426,362.184,358.070,0.325,0.697,-5.881,-5.509,0.325,2.922,0.045,2.553,1,1,lock_on,lock_on
1.400,44029.248,0.013,5943.583,44037.182,579.663,5975.404,88.056,88.066,88.077,88.083,5943.597,5996.068,5943.583,5975.404,361.605,340.655,361.606,358.237,0.504,0.881,-5.482,-5.105,0.504,0.936,0.131,0.563,1,1,lock_on,lock_on
1.600,43956.972,0.117,5943.887,43965.940,585.386,5979.997,87.911,87.922,87.939,87.946,5943.900,6012.744,5943.887,5979.997,361.214,337.184,361.215,357.779,0.395,0.776,-4.215,-3.834,0.395,1.463,0.018,1.086,1,1,lock_on,lock_on
1.800,43884.781,0.255,5944.105,43894.894,591.434,5984.692,87.767,87.779,87.803,87.811,5944.118,6031.230,5944.105,5984.692,360.676,334.164,360.676,356.729,0.575,0.961,-2.803,-2.418,0.575,9.101,0.195,8.722,1,1,lock_on,lock_on
2.000,43812.686,0.443,5944.334,43824.311,599.389,5989.938,87.623,87.636,87.667,87.677,5944.347,6051.241,5944.334,5989.938,360.334,331.643,360.334,355.710,0.459,0.851,-2.332,-1.940,0.459,8.499,0.078,8.117,1,1,lock_on,lock_on
2.200,43740.666,0.670,5944.476,43753.875,607.729,5995.172,87.479,87.494,87.532,87.543,5944.490,6071.951,5944.476,5995.172,359.854,329.786,359.855,355.490,0.641,1.039,-3.841,-3.443,0.641,2.268,0.258,1.884,1,1,lock_on,lock_on
2.400,43668.728,0.955,5944.627,43683.313,615.073,6000.073,87.335,87.352,87.398,87.410,5944.640,6092.233,5944.627,6000.073,359.581,328.131,359.581,355.618,0.522,0.925,-4.231,-3.828,0.522,2.769,0.136,2.383,1,1,lock_on,lock_on
2.600,43596.851,1.284,5944.688,43612.633,621.649,6004.467,87.191,87.209,87.264,87.277,5944.702,6111.558,5944.688,6004.467,359.179,326.507,359.180,355.469,0.708,1.115,-4.374,-3.967,0.708,0.705,0.319,0.317,1,1,lock_on,lock_on
2.800,43525.041,1.676,5944.754,43541.995,627.786,6008.400,87.047,87.067,87.129,87.144,5944.768,6129.683,5944.754,6008.400,358.994,324.991,358.995,354.685,0.585,0.997,-4.337,-3.925,0.585,6.303,0.195,5.912,1,1,lock_on,lock_on
3.000,43453.254,2.105,5944.656,43471.643,635.361,6012.231,86.904,86.925,86.995,87.011,5944.671,6146.513,5944.656,6012.231,358.914,323.560,358.915,353.996,0.613,1.031,-4.186,-3.768,0.613,12.916,0.220,12.522,1,1,lock_on,lock_on
3.200,43381.490,2.554,5944.559,43401.584,644.793,6015.774,86.760,86.783,86.861,86.879,5944.573,6162.014,5944.559,6015.774,358.711,322.181,358.712,353.965,0.783,1.207,-3.945,-3.521,0.783,9.760,0.387,9.364,1,1,lock_on,lock_on
3.400,43309.755,3.032,5944.627,43331.529,654.593,6019.116,86.617,86.641,86.726,86.746,5944.642,6176.181,5944.627,6019.116,358.698,320.857,358.699,354.239,0.682,1.113,-3.624,-3.193,0.682,6.127,0.283,5.728,1,1,lock_on,lock_on
3.600,43238.034,3.533,5944.701,43261.322,663.905,6021.956,86.473,86.499,86.592,86.613,5944.716,6189.021,5944.701,6021.956,358.509,319.589,358.510,354.536,0.860,1.298,-3.230,-2.793,0.860,4.197,0.459,3.795,1,1,lock_on,lock_on
3.800,43166.341,4.074,5944.824,43190.943,672.517,6023.902,86.330,86.357,86.458,86.480,5944.839,6200.550,5944.824,6023.902,358.488,318.373,358.488,354.782,0.751,1.194,-2.743,-2.300,0.750,3.251,0.347,2.847,1,1,lock_on,lock_on
4.000,43094.663,4.645,5944.874,43120.441,680.550,6024.718,86.187,86.215,86.323,86.347,5944.889,6210.789,5944.874,6024.718,358.292,317.208,358.293,354.739,0.928,1.378,-2.189,-1.740,0.928,3.328,0.522,2.922,1,1,lock_on,lock_on
4.200,43023.014,5.263,5944.938,43049.965,688.175,6024.542,86.043,86.073,86.189,86.214,5944.953,6219.763,5944.938,6024.542,358.266,316.090,358.267,354.069,0.815,1.269,-1.579,-1.125,0.814,4.439,0.406,4.030,1,1,lock_on,lock_on
4.400,42951.381,5.918,5944.913,42979.641,696.133,6024.274,85.900,85.931,86.055,86.081,5944.929,6227.545,5944.913,6024.274,358.071,314.795,358.072,353.738,0.994,1.455,-0.813,-0.354,0.994,10.541,0.584,10.130,1,1,lock_on,lock_on
4.600,42879.777,6.627,5944.894,42909.506,705.348,6024.578,85.757,85.790,85.921,85.948,5944.910,6234.255,5944.894,6024.578,358.048,313.521,358.049,353.741,0.877,1.344,-0.758,-0.292,0.877,9.763,0.464,9.350,1,1,lock_on,lock_on
4.800,42808.188,7.377,5944.782,42839.376,714.824,6024.715,85.614,85.648,85.787,85.816,5944.799,6239.707,5944.782,6024.715,357.856,312.459,357.857,353.832,1.060,1.533,-0.634,-0.162,1.060,6.279,0.645,5.864,1,1,lock_on,lock_on
5.000,42736.628,8.188,5944.674,42769.229,724.026,6023.850,85.471,85.506,85.653,85.683,5944.690,6243.921,5944.674,6023.850,357.837,311.449,357.838,353.751,0.940,1.420,-0.292,0.187,0.940,6.394,0.523,5.977,1,1,search,lock_on
5.200,42665.083,9.045,5944.471,42699.111,733.113,6022.274,85.327,85.365,85.519,85.551,5944.488,6246.967,5944.471,6022.274,357.650,310.278,357.651,353.370,1.127,1.613,0.312,0.797,1.127,6.881,0.709,6.462,1,1,search,lock_on
5.400,42593.565,9.969,5944.269,42629.115,742.111,6020.548,85.184,85.223,85.386,85.419,5944.286,6248.993,5944.269,6020.548,357.635,309.134,357.636,352.507,1.005,1.497,0.291,0.783,1.005,7.138,0.585,6.717,1,1,search,search
5.600,42522.043,10.930,5943.900,42559.252,751.097,6019.605,85.041,85.082,85.253,85.288,5943.917,6249.790,5943.900,6019.605,357.676,308.238,357.677,351.957,1.037,1.535,0.425,0.923,1.036,7.573,0.615,7.151,1,1,search,search
5.800,42450.526,11.915,5943.527,42489.469,760.110,6019.610,84.898,84.941,85.120,85.156,5943.544,6249.406,5943.527,6019.610,357.540,307.155,357.541,351.802,1.213,1.717,0.895,1.399,1.212,7.466,0.790,7.043,1,1,search,search
6.000,42379.028,12.932,5943.317,42419.758,769.062,6019.337,84.755,84.800,84.987,85.025,5943.335,6248.017,5943.317,6019.337,357.548,306.103,357.549,350.953,1.112,1.623,0.782,1.292,1.111,7.558,0.687,7.133,1,1,search,search
6.200,42307.541,13.976,5943.110,42350.157,777.842,6019.197,84.612,84.659,84.854,84.895,5943.128,6245.401,5943.110,6019.197,357.375,305.329,357.376,350.638,1.292,1.809,0.863,1.379,1.292,6.673,0.866,6.247,1,1,search,search
6.400,42236.080,15.062,5942.951,42280.611,786.334,6019.440,84.469,84.518,84.722,84.764,5942.969,6241.589,5942.951,6019.440,357.369,304.371,357.370,349.887,1.182,1.705,1.306,1.827,1.182,7.042,0.755,6.614,1,1,search,search
6.600,42164.630,16.180,5942.718,42211.174,794.607,6019.925,84.327,84.377,84.590,84.634,5942.736,6236.770,5942.718,6019.925,357.189,303.442,357.190,349.392,1.363,1.892,1.154,1.681,1.363,7.418,0.935,6.989,1,1,search,search
6.800,42093.208,17.349,5942.496,42141.792,802.734,6020.837,84.184,84.236,84.458,84.505,5942.514,6230.713,5942.496,6020.837,357.178,302.805,357.180,349.238,1.250,1.784,1.207,1.739,1.249,6.757,0.821,6.327,1,1,search,search
7.000,42021.799,18.555,5942.185,42072.438,810.732,6022.239,84.041,84.096,84.327,84.375,5942.203,6223.447,5942.185,6022.239,356.999,301.977,357.001,349.002,1.433,1.973,1.644,2.182,1.433,7.321,1.003,6.890,1,1,search,search
7.200,41950.416,19.819,5941.877,42003.132,818.713,6023.270,83.898,83.955,84.196,84.246,5941.896,6215.171,5941.877,6023.270,356.991,301.179,356.992,348.730,1.317,1.862,1.462,2.005,1.316,7.115,0.885,6.682,1,1,search,search
7.400,41879.046,21.125,5941.476,41933.888,826.691,6023.313,83.755,83.815,84.065,84.118,5941.494,6205.646,5941.476,6023.313,356.815,300.677,356.817,348.292,1.504,2.054,1.490,2.039,1.503,7.325,1.071,6.892,1,1,search,search
7.600,41807.702,22.496,5941.076,41864.694,834.674,6022.867,83.613,83.674,83.934,83.989,5941.095,6194.903,5941.076,6022.867,356.811,299.980,356.812,348.344,1.384,1.940,1.923,2.477,1.383,7.305,0.951,6.871,1,1,search,search
7.800,41736.353,23.902,5940.508,41795.495,842.659,6022.617,83.470,83.534,83.804,83.861,5940.527,6183.147,5940.508,6022.617,356.862,299.306,356.864,348.170,1.416,1.977,1.708,2.268,1.415,7.483,0.982,7.048,1,1,search,search
8.000,41665.006,25.329,5939.937,41726.325,850.669,6022.718,83.327,83.393,83.674,83.734,5939.956,6170.136,5939.937,6022.718,356.737,298.936,356.739,348.214,1.588,2.155,1.708,2.273,1.587,7.395,1.154,6.959,1,1,search,search
8.200,41593.675,26.787,5939.576,41657.154,858.696,6022.902,83.185,83.253,83.545,83.607,5939.595,6155.902,5939.576,6022.902,356.755,298.362,356.756,348.112,1.519,2.092,2.134,2.705,1.519,7.585,1.084,7.149,1,1,search,search
8.400,41522.350,28.274,5939.416,41587.998,866.758,6023.169,83.042,83.113,83.416,83.480,5939.435,6140.650,5939.416,6023.169,356.605,297.777,356.606,348.179,1.698,2.276,1.882,2.457,1.697,7.486,1.262,7.049,1,1,search,search
8.600,41451.047,29.805,5939.452,41518.842,874.845,6023.368,82.899,82.972,83.287,83.354,5939.471,6124.136,5939.452,6023.368,356.618,297.514,356.620,348.064,1.581,2.164,1.847,2.429,1.580,7.674,1.144,7.236,1,1,search,search
8.800,41379.756,31.369,5939.478,41449.740,882.986,6023.671,82.757,82.832,83.159,83.228,5939.497,6106.395,5939.478,6023.671,356.441,297.045,356.443,347.830,1.758,2.347,2.261,2.847,1.757,7.436,1.321,6.997,1,1,search,search
9.000,41308.491,32.983,5939.546,41380.654,891.128,6024.196,82.614,82.692,83.032,83.102,5939.565,6087.636,5939.546,6024.196,356.431,296.554,356.433,347.769,1.645,2.239,1.962,2.554,1.644,7.550,1.207,7.111,1,1,search,search
9.200,41237.239,34.633,5939.535,41311.610,899.223,6025.005,82.472,82.551,82.905,82.978,5939.554,6067.615,5939.535,6025.005,356.250,296.390,356.251,347.465,1.825,2.426,1.888,2.485,1.824,7.570,1.387,7.129,1,1,search,search
9.400,41166.016,36.338,5939.535,41242.601,907.303,6026.012,82.329,82.411,82.778,82.853,5939.554,6046.293,5939.535,6026.012,356.238,296.337,356.240,347.479,1.710,2.315,2.094,2.696,1.709,7.428,1.271,6.987,1,1,search,search
9.600,41094.805,38.084,5939.442,41173.599,915.390,6026.974,82.187,82.271,82.652,82.730,5939.461,6023.772,5939.442,6026.974,356.058,296.333,356.060,347.301,1.894,2.505,2.130,2.738,1.893,7.629,1.455,7.188,1,1,search,search
9.800,41023.621,39.892,5939.353,41104.622,923.507,6027.949,82.045,82.131,82.526,82.606,5939.372,6000.719,5939.353,6027.949,356.049,296.568,356.051,347.344,1.777,2.393,0.328,0.941,1.775,7.541,1.336,7.098,1,1,search,search
10.000,40952.451,41.745,5939.168,41035.653,931.645,6028.826,81.902,81.991,82.400,82.482,5939.187,5978.337,5939.168,6028.826,355.874,296.456,355.875,347.162,1.965,2.587,-1.097,-0.479,1.964,7.736,1.524,7.293,1,1,lock_on,search
10.200,40881.307,43.665,5938.983,40966.735,939.827,6029.691,81.760,81.851,82.274,82.358,5939.002,5957.379,5938.983,6029.691,355.869,295.748,355.871,346.994,1.846,2.473,-1.997,-1.373,1.844,7.372,1.403,6.927,1,1,lock_on,search
10.400,40810.158,45.623,5938.629,40897.826,947.998,6030.266,81.618,81.711,82.147,82.233,5938.648,5938.106,5938.629,6030.266,355.921,294.803,355.923,346.904,1.881,2.514,-2.811,-2.182,1.880,7.526,1.437,7.079,1,1,lock_on,search
10.600,40739.009,47.606,5938.251,40828.939,956.144,6030.679,81.475,81.571,82.019,82.108,5938.269,5920.604,5938.251,6030.679,355.805,293.742,355.806,346.752,2.064,2.702,-3.667,-3.033,2.063,7.580,1.617,7.131,1,1,lock_on,search
10.800,40667.880,49.621,5937.954,40760.098,964.237,6031.110,81.333,81.432,81.892,81.983,5937.972,5904.974,5937.954,6031.110,355.820,292.349,355.822,346.457,1.963,2.607,-4.347,-3.707,1.962,7.290,1.514,6.838,1,1,lock_on,search
11.000,40596.759,51.663,5937.597,40691.284,972.261,6031.616,81.191,81.292,81.764,81.858,5937.615,5891.636,5937.597,6031.616,355.656,290.468,355.658,346.335,2.145,2.793,-4.477,-3.832,2.143,7.333,1.692,6.877,1,1,lock_on,search
11.200,40525.698,53.759,5937.367,40622.513,980.223,6032.296,81.049,81.152,81.636,81.732,5937.385,5880.819,5937.367,6032.296,355.586,288.615,355.312,346.033,2.165,2.819,-3.373,-2.723,1.996,7.085,1.541,6.626,1,1,lock_on,lock_on
