Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Type
0.0,A0100,13358399.998614145,6679248.695440171,6095.876793657732,244.01529886823096,0.19223143050759606,0.6728687999244273,2.2525892196964103,tactical_climb
0.0,B0100,13363966.00141262,6768207.310440141,6095.8767828821365,244.01533710101887,180.1922346986675,0.6728673176625919,2.2525910486798693,tactical_climb
0.4,A0100,13358400.114905024,6679345.837551305,6095.807220333552,242.45868575103648,0.22741752181686856,2.6718915392669995,0.9237127756470074,tactical_climb
0.4,B0100,13363965.882185549,6768110.180018371,6095.807128277716,242.45879015977255,180.22743802550738,2.6718806746233956,0.9237734546356401,tactical_climb
0.8,A0100,13358400.475429343,6679442.456904306,6096.523229630372,240.81810610884762,0.18528081390151185,3.4339150554732307,5.519861661404259,tactical_climb
0.8,B0100,13363965.51257332,6768013.5722364215,6096.522993016908,240.81827679787725,180.18531121509466,3.4338870917963007,5.519987175044919,tactical_climb
1.2000000000000002,A0100,13358401.21505978,6679538.346242204,6097.983918970121,239.283407832108,0.06708983616048414,-0.9223748919619896,4.066465462888837,tactical_climb
1.2000000000000002,B0100,13363964.754328845,6767917.694326448,6097.983474166239,239.28367971948407,180.06708418974105,-0.9224206277729263,4.066628092581835,tactical_climb
1.6,A0100,13358401.972686576,6679633.573730653,6098.22205528847,238.2255545449985,0.0208446278700499,-2.0752640108231946,-3.758736284210505,tactical_climb
1.6,B0100,13363963.97758101,6767822.4781300295,6098.2213428580735,238.2259222768537,180.02083920398212,-2.0753048859782663,-3.758463300143268,tactical_climb
2.0,A0100,13358402.752645928,6679728.577321513,6097.078203386209,236.8212426149707,359.9083696905174,3.2233473858393333,1.2296146742229412,tactical_climb
2.0,B0100,13363963.176839836,6767727.483977858,6097.072081504476,236.8910652080764,179.882064564504,3.0491986969965836,1.2587575199725987,tactical_climb
2.4000000000000004,A0100,13358403.556038484,6679822.998420169,6098.247500049395,232.83201862037296,0.5544556022196787,10.817252623247155,4.769067088666292,tactical_climb
2.4000000000000004,B0100,13363962.362053538,6767633.034461817,6097.791043936811,235.09201250366814,180.0904367531343,5.855221666072422,2.738543672124112,tactical_climb
2.8000000000000003,A0100,13358404.983498482,6679916.509801486,6103.542268153095,231.96614664765215,0.5034146429303968,11.202973281017044,-3.342787638038268,tactical_climb
2.8000000000000003,B0100,13363961.445424927,6767538.9782760255,6099.592620268071,235.5741650853343,180.13572118284816,-0.8563833634638615,5.467935070408271,tactical_climb
3.2,A0100,13358406.324488249,6680009.176766679,6111.947695082063,232.8446177416399,1.3797341272928565,6.388703738298618,-4.131560540856447,tactical_climb
3.2,B0100,13363960.579175005,6767444.99764923,6099.614428190437,234.84162493925692,179.48145524266081,-2.7154857046374015,-0.28306287721041656,tactical_climb
3.6,A0100,13358407.870665723,6680101.977968061,6119.2017567308485,232.57592992938697,1.209674034997606,0.5455558414919074,0.3941806960868441,tactical_climb
3.6,B0100,13363959.866158234,6767350.936132255,6098.434702910078,236.01275257410643,179.87501814537168,1.3786193132069344,2.902640143802423,tactical_climb
4.0,A0100,13358409.610621339,6680194.808727839,6124.9972611908115,232.79989208114213,1.2950572673211542,7.100834250053768,2.812005451901283,tactical_climb
4.0,B0100,13363959.072187606,6767256.6795972865,6097.725851063821,235.6140023427094,179.84257806444643,2.9961336143278126,2.6524159490721355,tactical_climb
4.4,A0100,13358411.727155114,6680287.513564737,6132.253632655004,230.4536052961289,1.3951718735615153,12.817461067230447,-0.5542192230007845,tactical_climb
4.4,B0100,13363958.018564623,6767162.456476526,6098.2619535492095,235.24628075302985,180.06119612365546,4.94544889404841,7.20135486790037,tactical_climb
4.800000000000001,A0100,13358414.131915646,6680379.625561407,6142.094987298105,231.43148281964932,1.293792446851695,9.330714534928076,3.748623352056866,tactical_climb
4.800000000000001,B0100,13363956.511327796,6767068.388099546,6100.121827890202,235.86923582991594,180.31939985369755,0.3297112174019631,4.98081338472707,tactical_climb
5.2,A0100,13358416.86329907,6680471.504700039,6152.331666978657,230.90029121199117,1.2331786896939696,9.265853592430727,5.972151357881583,tactical_climb
5.2,B0100,13363954.983099021,6766974.292382783,6100.620932320503,235.24848434766722,179.73261611428882,-1.685587941613517,-0.7482789150765664,tactical_climb
5.6000000000000005,A0100,13358419.86224046,6680562.402908529,6165.256790202928,226.25312550937682,1.1481275908218214,18.117794900415902,-9.840151021233806,tactical_climb
5.6000000000000005,B0100,13363953.593120432,6766880.102609809,6100.289942779685,236.21858139219327,180.10437793217335,2.392021874243874,2.466207774250298,tactical_climb
6.0,A0100,13358421.668231182,6680651.479534763,6183.021853279299,221.72799222618534,0.3529882904518578,24.286721625391674,-4.1262003183358535,tactical_climb
6.0,B0100,13363952.136035774,6766785.7498627985,6100.597959147451,236.02645828893247,180.00550619252618,2.263207772210605,2.1706824222151466,tactical_climb
6.4,A0100,13358422.587598125,6680738.327746493,6205.44917584338,221.46295897962622,0.28464138648129156,23.139182869641072,-2.9037699028352084,tactical_climb
6.4,B0100,13363950.692680547,6766691.407489996,6100.52693650108,235.82072053965655,179.34743503096772,-3.450934416600493,7.573183017862892,tactical_climb
6.800000000000001,A0100,13358423.187128713,6680823.825019,6229.955202287418,222.33871084358694,0.5374355011747857,16.16343286873828,-0.8154189290963519,tactical_climb
6.800000000000001,B0100,13363949.429637622,6766597.2456219345,6099.14707786637,235.9595041751097,179.4521127740809,-1.1896279037687085,0.9030912145130751,tactical_climb
7.2,A0100,13358423.865594832,6680909.313200145,6253.211548181436,221.0340990099109,0.8574136629272303,15.917230623392856,3.9610205782398156,tactical_climb
7.2,B0100,13363948.336028533,6766502.974978059,6097.629924236038,235.28133720688965,179.58180016838156,4.541618465500883,0.355525161669492,tactical_climb
7.6000000000000005,A0100,13358424.556088196,6680993.384555458,6278.224550149414,215.79365287185703,0.38118166105583917,26.34788260173195,-12.716518499889357,tactical_climb
7.6000000000000005,B0100,13363947.274806969,6766408.69640038,6097.545735003716,235.91793558182906,179.3651009466758,1.3805879063902722,5.500530071798706,tactical_climb
8.0,A0100,13358424.13962896,6681075.422847189,6306.08830485709,216.07823701947285,1.1791873075521644,20.242678138496114,-10.411083021262916,tactical_climb
8.0,B0100,13363946.158399923,6766314.540195681,6097.601173202089,235.6792567557898,179.3790388566046,0.005381974406186565,5.378365366390786,tactical_climb
8.4,A0100,13358423.79932856,6681157.313397838,6332.958145813546,214.91980343352188,2.112922153727368,13.596977137863187,-4.365957095436484,tactical_climb
