Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.200,44538.062,-0.007,5940.763,44538.104,544.997,5940.739,89.073,89.075,89.075,89.073,5941.022,5940.643,5940.763,5940.739,364.767,365.563,365.339,365.339,0.530,0.881,-0.559,-0.208,0.011,0.362,0.348,0.002,1,1,coordination,coordination
0.400,44465.055,-0.031,5941.213,44465.096,544.984,5941.190,88.928,88.929,88.929,88.927,5943.276,5940.182,5941.213,5941.190,363.214,364.918,364.728,364.728,2.670,3.021,-1.068,-0.717,0.215,0.566,0.145,0.206,1,1,lock_on,coordination
0.600,44392.160,-0.058,5941.703,44392.202,544.968,5941.680,88.783,88.784,88.783,88.782,5947.571,5939.777,5941.703,5941.680,361.188,364.536,364.276,364.276,4.659,5.011,-5.685,-5.333,0.147,0.498,0.216,0.136,1,1,lock_on,coordination
0.800,44319.366,-0.084,5942.123,44319.407,544.953,5942.099,88.638,88.640,88.638,88.636,5953.113,5940.327,5942.123,5942.099,359.306,363.469,363.658,363.658,8.402,8.755,-5.318,-4.966,0.337,0.689,0.030,0.323,1,1,lock_on,attack_maneuver
1.000,44246.685,-0.093,5942.562,44246.726,544.955,5942.538,88.494,88.496,88.493,88.491,5958.933,5941.618,5942.562,5942.538,357.863,362.052,363.213,363.213,12.179,12.532,-8.879,-8.526,0.253,0.606,0.121,0.232,1,1,lock_on,attack_maneuver
1.200,44174.102,-0.087,5942.920,44174.143,544.972,5942.897,88.351,88.353,88.348,88.346,5964.519,5943.635,5942.920,5942.897,356.502,360.528,362.609,362.609,15.090,15.443,-10.928,-10.574,0.440,0.794,0.056,0.409,1,1,lock_on,attack_maneuver
1.400,44101.628,-0.050,5943.293,44101.670,545.020,5943.270,88.209,88.210,88.204,88.202,5969.960,5946.155,5943.293,5943.270,354.852,359.046,362.184,362.184,17.278,17.632,-13.364,-13.010,0.347,0.701,0.051,0.303,1,1,lock_on,attack_maneuver
1.600,44029.248,0.013,5943.583,44029.289,545.094,5943.560,88.067,88.069,88.061,88.059,5975.500,5948.919,5943.583,5943.560,352.901,357.553,361.606,361.606,19.352,19.706,-15.749,-15.395,0.536,0.890,0.120,0.475,1,1,lock_on,attack_maneuver
1.800,43956.972,0.117,5943.887,43957.013,545.209,5943.863,87.927,87.929,87.919,87.917,5980.940,5951.648,5943.887,5943.863,350.838,356.094,361.215,361.215,21.774,22.129,-18.109,-17.754,0.437,0.793,0.002,0.357,1,1,lock_on,attack_maneuver
2.000,43884.781,0.255,5944.105,43884.822,545.358,5944.081,87.788,87.790,87.778,87.776,5985.468,5954.057,5944.105,5944.081,349.430,354.690,360.676,360.676,24.532,24.888,-20.426,-20.070,0.630,0.986,0.170,0.526,1,1,lock_on,attack_maneuver
2.200,43812.686,0.443,5944.334,43812.727,545.557,5944.310,87.649,87.652,87.637,87.635,5988.719,5955.867,5944.334,5944.310,348.283,353.089,360.334,360.334,26.844,27.200,-22.705,-22.349,0.529,0.886,0.042,0.399,1,1,lock_on,attack_maneuver
2.400,43740.666,0.670,5944.476,43740.707,545.795,5944.452,87.512,87.515,87.498,87.496,5990.766,5957.075,5944.476,5944.452,346.949,351.418,359.855,359.855,28.763,29.120,-24.869,-24.512,0.727,1.084,0.210,0.567,1,1,lock_on,attack_maneuver
2.600,43668.728,0.955,5944.627,43668.770,546.091,5944.603,87.376,87.379,87.360,87.358,5991.824,5957.939,5944.627,5944.603,345.583,350.045,359.581,359.581,30.660,31.018,-27.045,-26.687,0.625,0.983,0.074,0.432,1,1,lock_on,attack_maneuver
2.800,43596.851,1.284,5944.688,43596.893,546.430,5944.664,87.242,87.245,87.224,87.221,5992.208,5958.442,5944.688,5944.664,344.493,348.837,359.180,359.180,32.635,32.993,-29.222,-28.864,0.829,1.187,0.242,0.600,1,1,lock_on,attack_maneuver
3.000,43525.041,1.676,5944.754,43525.082,546.834,5944.731,87.109,87.112,87.089,87.086,5992.443,5958.376,5944.754,5944.731,343.426,347.463,358.995,358.995,34.429,34.787,-31.398,-31.040,0.727,1.086,0.100,0.459,1,1,lock_on,attack_maneuver
3.200,43453.254,2.105,5944.656,43453.296,547.274,5944.633,86.977,86.980,86.955,86.952,5993.204,5957.805,5944.656,5944.633,342.238,345.808,358.915,358.915,36.168,36.527,-33.541,-33.182,0.777,1.136,0.107,0.466,1,1,lock_on,attack_maneuver
3.400,43381.490,2.554,5944.559,43381.532,547.734,5944.535,86.846,86.850,86.823,86.819,5994.937,5957.345,5944.559,5944.535,340.565,344.279,358.712,358.712,37.925,38.284,-35.623,-35.263,0.969,1.328,0.253,0.613,1,1,lock_on,attack_maneuver
3.600,43309.755,3.032,5944.627,43309.797,548.222,5944.604,86.717,86.721,86.692,86.689,5997.367,5957.843,5944.627,5944.604,338.838,343.032,358.699,358.699,40.112,40.472,-37.284,-36.923,0.892,1.252,0.128,0.489,1,1,lock_on,attack_maneuver
3.800,43238.034,3.533,5944.701,43238.076,548.734,5944.677,86.591,86.595,86.563,86.559,5999.576,5959.877,5944.701,5944.677,337.575,342.134,358.510,358.510,42.902,43.263,-38.354,-37.993,1.096,1.457,0.281,0.642,1,1,lock_on,attack_maneuver
4.000,43166.341,4.074,5944.824,43166.383,549.286,5944.800,86.466,86.470,86.434,86.430,6001.133,5963.532,5944.824,5944.800,336.866,341.329,358.488,358.488,45.431,45.792,-38.120,-37.758,1.014,1.375,0.146,0.507,1,1,lock_on,attack_maneuver
4.200,43094.663,4.645,5944.874,43094.705,549.868,5944.850,86.342,86.346,86.306,86.302,6002.290,5968.480,5944.874,5944.850,336.117,340.543,358.293,358.293,47.304,47.666,-37.540,-37.178,1.220,1.581,0.298,0.660,1,1,lock_on,attack_maneuver
4.400,43023.014,5.263,5944.938,43023.056,550.497,5944.914,86.220,86.225,86.178,86.174,6003.573,5973.635,5944.938,5944.914,335.742,339.781,358.267,358.267,47.216,47.579,-37.511,-37.149,1.135,1.497,0.157,0.520,1,1,lock_on,attack_maneuver
4.600,42951.381,5.918,5944.913,42951.423,551.163,5944.889,86.098,86.104,86.051,86.046,6005.054,5977.874,5944.913,5944.889,335.805,338.755,358.072,358.072,42.992,43.355,-37.414,-37.051,1.345,1.708,0.311,0.674,1,1,lock_on,attack_maneuver
4.800,42879.777,6.627,5944.894,42879.820,551.883,5944.870,85.977,85.983,85.924,85.919,6006.124,5980.779,5944.894,5944.870,335.947,337.937,358.049,358.049,42.344,42.707,-37.310,-36.946,1.257,1.621,0.167,0.530,1,1,lock_on,attack_maneuver
5.000,42808.188,7.377,5944.782,42808.231,552.644,5944.758,85.856,85.862,85.796,85.791,6006.671,5982.112,5944.782,5944.758,335.908,337.744,357.857,357.857,42.522,42.886,-36.684,-36.320,1.470,1.834,0.323,0.687,1,1,lock_on,attack_maneuver
5.200,42736.628,8.188,5944.674,42736.671,553.466,5944.650,85.735,85.741,85.669,85.664,6006.981,5982.112,5944.674,5944.650,335.372,338.123,357.838,357.838,42.751,43.116,-36.485,-36.121,1.380,1.745,0.176,0.541,1,1,lock_on,attack_maneuver
5.400,42665.083,9.045,5944.471,42665.125,554.333,5944.447,85.614,85.621,85.542,85.536,6007.226,5981.695,5944.471,5944.447,335.000,338.325,357.651,357.651,42.696,43.061,-40.611,-40.246,1.598,1.963,0.336,0.701,1,1,coordination,attack_maneuver
5.600,42593.565,9.969,5944.269,42593.608,555.268,5944.245,85.493,85.500,85.416,85.410,6007.331,5981.973,5944.269,5944.245,334.479,337.673,357.636,357.636,42.916,43.281,-41.800,-41.434,1.506,1.871,0.186,0.552,1,1,coordination,attack_maneuver
5.800,42522.043,10.930,5943.900,42522.086,556.240,5943.875,85.373,85.380,85.291,85.285,6007.412,5983.426,5943.900,5943.875,334.127,336.835,357.677,357.677,42.847,43.213,-43.013,-42.647,1.568,1.933,0.189,0.555,1,1,coordination,attack_maneuver
6.000,42450.526,11.915,5943.527,42450.569,557.235,5943.502,85.252,85.259,85.167,85.160,6007.307,5986.256,5943.527,5943.502,333.829,336.199,357.541,357.541,42.925,43.292,-43.091,-42.724,1.774,2.140,0.335,0.702,1,1,coordination,coordination
6.200,42379.028,12.932,5943.317,42379.072,558.264,5943.293,85.132,85.139,85.043,85.037,6007.150,5990.214,5943.317,5943.293,333.369,335.501,357.549,357.549,43.131,43.498,-42.627,-42.259,1.703,2.070,0.204,0.571,1,1,coordination,coordination
6.400,42307.541,13.976,5943.110,42307.585,559.318,5943.086,85.011,85.019,84.920,84.913,6007.053,5994.412,5943.110,5943.086,333.048,335.614,357.376,357.376,43.073,43.440,-42.233,-41.866,1.914,2.281,0.354,0.722,1,1,coordination,coordination
