Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km
61.0,A1001,A0100,AIM-120C-7,ACTIVE,-23451.37831763261,313.5591610212247,6154.559241415041,359.8405416629918,B0100,46.74640448762175
61.2,A1001,A0100,AIM-120C-7,ACTIVE,-23377.651586955897,314.20660697685116,6155.079441202775,379.0854262895788,B0100,46.603994369721974
61.400000000000006,A1001,A0100,AIM-120C-7,ACTIVE,-23300.07164538476,314.8891727369186,6155.619580773985,398.3783004328643,B0100,46.45774409959964
61.6,A1001,A0100,AIM-120C-7,ACTIVE,-23218.629457452695,315.60748970176144,6156.177253551515,417.71147196266674,B0100,46.307627710166116
61.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-23133.317109188694,316.36271274119576,6156.747525325824,437.0859541931741,B0100,46.153653794641
62.0,A1001,A0100,AIM-120C-7,ACTIVE,-23044.126282375633,317.1551818620671,6157.3299159244425,456.50093798952935,B0100,45.99577946721684
62.2,A1001,A0100,AIM-120C-7,ACTIVE,-22951.04911669115,317.9852085006948,6157.924098827071,475.95382200638915,B0100,45.83400486167189
62.400000000000006,A1001,A0100,AIM-120C-7,ACTIVE,-22854.078275823824,318.8531013427684,6158.52976103339,495.44196516001415,B0100,45.668340463097074
62.6,A1001,A0100,AIM-120C-7,ACTIVE,-22753.20695580369,319.7591662159438,6159.146607364654,514.9626801550694,B0100,45.49876556152027
62.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-22648.428894362318,320.7037060680869,6159.774360067358,534.5132346504712,B0100,45.325293849035674
63.0,A1001,A0100,AIM-120C-7,ACTIVE,-22539.73838054621,321.68702126972346,6160.412756547951,554.0908417874971,B0100,45.1479048379614
63.2,A1001,A0100,AIM-120C-7,ACTIVE,-22427.130265403408,322.70940964199013,6161.061543564029,573.6926670866995,B0100,44.96661138936309
63.400000000000006,A1001,A0100,AIM-120C-7,ACTIVE,-22310.59997133049,323.77116667041327,6161.720476027592,593.3158257693134,B0100,44.78139277110523
63.6,A1001,A0100,AIM-120C-7,ACTIVE,-22190.143501910934,324.8725854442631,6162.389314020261,612.9573894922838,B0100,44.59226198923036
63.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-22065.757450591787,326.013956873607,6163.067823073492,632.6143821130432,B0100,44.39919888739361
64.0,A1001,A0100,AIM-120C-7,ACTIVE,-21937.439010063103,327.1955695935049,6163.755771901213,652.2837863993362,B0100,44.20221740072416
