Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km,Fuel_Remaining_pct,Guidance_Mode
217.0,B2001,B0200,A0100,-21375.476365249662,-8293.078546762968,6434.3215267699925,395.08561929637494,MISS,Trajectory,28.074157069391326,50.0,INERTIAL
217.0,A2001,A0200,B0100,-791.4622522716552,5161.85949824932,5941.960988116475,744.000923178465,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.0,A2002,A0200,B0100,-791.4764956947606,5161.834807464959,5941.963777206192,743.9720303639257,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.0,B2002,B0200,A0100,-25595.298213603888,-8374.25389761028,6502.08021409623,413.84242718494755,MISS,Trajectory,23.85488332708394,50.0,INERTIAL
217.20000000000002,B1001,B0100,A0100,-12755.666076730462,-7834.052476567114,6601.804008274239,343.78191791924945,MISS,Trajectory,36.748823980217686,50.0,INERTIAL
217.20000000000002,B1002,B0100,A0100,-15936.589263837863,-7348.323809921105,6698.6604465993005,360.2010961235947,MISS,Trajectory,33.59952288810522,50.0,INERTIAL
217.20000000000002,A1001,A0100,B0100,10168.100117617409,1653.7696808152355,6293.8615424266,576.2684675271721,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.20000000000002,A1002,A0100,B0100,9619.488646233893,1540.3235036280214,6281.940784583896,583.8081134914175,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.20000000000002,B2001,B0200,A0100,-21375.476365249662,-8293.078546762968,6434.3215267699925,395.08561929637494,MISS,Trajectory,28.11706043072559,50.0,INERTIAL
217.20000000000002,A2001,A0200,B0100,-791.4622522716552,5161.85949824932,5941.960988116475,744.000923178465,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.20000000000002,A2002,A0200,B0100,-791.4764956947606,5161.834807464959,5941.963777206192,743.9720303639257,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.20000000000002,B2002,B0200,A0100,-25595.298213603888,-8374.25389761028,6502.08021409623,413.84242718494755,MISS,Trajectory,23.897783120580293,50.0,INERTIAL
217.4,B1001,B0100,A0100,-12755.666076730462,-7834.052476567114,6601.804008274239,343.78191791924945,MISS,Trajectory,36.7916606012621,50.0,INERTIAL
217.4,B1002,B0100,A0100,-15936.589263837863,-7348.323809921105,6698.6604465993005,360.2010961235947,MISS,Trajectory,33.64233736548783,50.0,INERTIAL
217.4,A1001,A0100,B0100,10168.100117617409,1653.7696808152355,6293.8615424266,576.2684675271721,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.4,A1002,A0100,B0100,9619.488646233893,1540.3235036280214,6281.940784583896,583.8081134914175,MISS,Trajectory,0.0,50.0,ACTIVE_RADAR
217.4,B2001,B0200,A0100,-21375.476365249662,-8293.078546762968,6434.3215267699925,395.08561929637494,MISS,Trajectory,28.159900709582907,50.0,INERTIAL
