time,agent_id,phase,distance,my_intent,enemy_intent,situation
2.0,A0100,NLT_MELD,119364.70785232825,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
2.0,A0200,NLT_MELD,119364.70785232825,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
4.0,A0100,NLT_MELD,118305.38215061965,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
4.0,A0200,NLT_MELD,118305.38215061965,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
6.0,A0100,NLT_MELD,117253.8200017542,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
6.0,A0200,NLT_MELD,117253.8200017542,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
8.0,A0100,NLT_MELD,116209.66308223731,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
8.0,A0200,NLT_MELD,116209.66308223731,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
10.0,A0100,NLT_MELD,115173.54880275656,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
10.0,A0200,NLT_MELD,115173.54880275656,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
12.0,A0100,NLT_MELD,114144.1308845877,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
12.0,A0200,NLT_MELD,114144.1308845877,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
14.0,A0100,NLT_MELD,113123.26195657384,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
14.0,A0200,NLT_MELD,113123.26195657384,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
16.0,A0100,NLT_MELD,112110.64293712094,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
16.0,A0200,NLT_MELD,112110.64293712094,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
18.0,A0100,NLT_MELD,111107.07638731881,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
18.0,A0200,NLT_MELD,111107.07638731881,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
20.0,A0100,NLT_MELD,110112.58664369756,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
20.0,A0200,NLT_MELD,110112.58664369756,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
22.0,A0100,NLT_MELD,109125.9430119643,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
22.0,A0200,NLT_MELD,109125.9430119643,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
24.0,A0100,NLT_MELD,108145.3526154271,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
24.0,A0200,NLT_MELD,108145.3526154271,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
26.0,A0100,NLT_MELD,107180.14362088428,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
26.0,A0200,NLT_MELD,107180.14362088428,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
28.0,A0100,NLT_MELD,106280.45479298625,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
28.0,A0200,NLT_MELD,106280.45479298625,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
30.0,A0100,NLT_MELD,105411.57287797151,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
30.0,A0200,NLT_MELD,105411.57287797151,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
32.0,A0100,NLT_MELD,104554.45083222601,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
32.0,A0200,NLT_MELD,104554.45083222601,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
34.0,A0100,NLT_MELD,103702.63300425428,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
34.0,A0200,NLT_MELD,103702.63300425428,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
36.0,A0100,NLT_MELD,102872.67237764233,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
36.0,A0200,NLT_MELD,102872.67237764233,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
38.0,A0100,NLT_MELD,102031.16754378707,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
38.0,A0200,NLT_MELD,102031.16754378707,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
40.0,A0100,NLT_MELD,101105.59898387609,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
40.0,A0200,NLT_MELD,101105.59898387609,CONSERVATIVE_CLEAR,NEUTRAL,NEUTRAL
