Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.073,5940.775,5940.790,5940.763,5940.739,365.339,365.676,365.339,365.339,0.011,0.362,-0.730,-0.379,0.011,0.362,0.348,0.002,1,1,lock_on,formation_maintain
0.200,88.927,88.929,88.929,88.927,5941.226,5941.388,5941.213,5941.190,364.728,365.443,364.728,364.728,0.215,0.566,-1.875,-1.524,0.215,0.566,0.145,0.206,1,1,lock_on,attack_maneuver
0.400,88.782,88.783,88.783,88.781,5941.716,5942.836,5941.703,5941.680,364.276,364.779,364.276,364.276,0.145,0.497,-4.569,-4.218,0.145,0.497,0.216,0.136,1,1,lock_on,attack_maneuver
0.600,88.636,88.638,88.638,88.636,5942.136,5945.334,5942.123,5942.099,363.658,363.686,363.658,363.658,0.333,0.685,-7.116,-6.764,0.333,0.685,0.030,0.322,1,1,lock_on,attack_maneuver
0.800,88.491,88.492,88.493,88.491,5942.575,5948.413,5942.562,5942.538,363.213,362.346,363.213,363.213,0.244,0.597,-9.873,-9.520,0.244,0.597,0.122,0.230,1,1,lock_on,attack_maneuver
1.000,88.346,88.347,88.348,88.346,5942.933,5951.672,5942.920,5942.897,362.608,360.855,362.609,362.609,0.426,0.779,-12.509,-12.156,0.426,0.779,0.054,0.407,1,1,lock_on,attack_maneuver
1.200,88.201,88.202,88.204,88.202,5943.306,5954.775,5943.293,5943.270,362.184,359.382,362.184,362.184,0.325,0.679,-15.014,-14.660,0.325,0.679,0.054,0.300,1,1,lock_on,attack_maneuver
1.400,88.056,88.058,88.061,88.059,5943.597,5957.413,5943.583,5943.560,361.605,357.673,361.606,361.606,0.504,0.859,-17.419,-17.064,0.504,0.859,0.117,0.472,1,1,lock_on,attack_maneuver
1.600,87.911,87.913,87.920,87.917,5943.900,5959.563,5943.887,5943.863,361.214,355.844,361.215,361.215,0.395,0.750,-19.616,-19.260,0.395,0.750,0.003,0.352,1,1,lock_on,attack_maneuver
1.800,87.767,87.769,87.779,87.777,5944.118,5961.503,5944.105,5944.081,360.676,354.055,360.676,360.676,0.575,0.931,-21.759,-21.404,0.575,0.931,0.165,0.520,1,1,lock_on,attack_maneuver
2.000,87.623,87.624,87.639,87.637,5944.347,5963.523,5944.334,5944.310,360.334,352.564,360.334,360.334,0.459,0.816,-23.943,-23.587,0.459,0.816,0.035,0.392,1,1,lock_on,attack_maneuver
2.200,87.479,87.480,87.501,87.498,5944.490,5965.578,5944.476,5944.452,359.854,351.208,359.855,359.855,0.641,0.999,-26.124,-25.767,0.641,0.998,0.202,0.559,1,1,lock_on,attack_maneuver
2.400,87.335,87.337,87.364,87.361,5944.640,5967.451,5944.627,5944.603,359.581,349.907,359.581,359.581,0.522,0.880,-28.317,-27.959,0.522,0.880,0.065,0.423,1,1,lock_on,attack_maneuver
2.600,87.191,87.193,87.228,87.225,5944.702,5968.914,5944.688,5944.664,359.179,348.435,359.180,359.180,0.708,1.066,-30.516,-30.158,0.708,1.066,0.232,0.590,1,1,lock_on,attack_maneuver
2.800,87.047,87.049,87.093,87.090,5944.768,5970.017,5944.754,5944.731,358.994,346.941,358.995,358.995,0.585,0.944,-32.674,-32.316,0.585,0.944,0.089,0.448,1,1,lock_on,attack_maneuver
3.000,86.904,86.906,86.960,86.957,5944.671,5971.030,5944.656,5944.633,358.914,345.762,358.915,358.915,0.613,0.973,-34.856,-34.497,0.613,0.973,0.095,0.454,1,1,lock_on,attack_maneuver
3.200,86.760,86.762,86.829,86.825,5944.573,5971.941,5944.559,5944.535,358.711,344.726,358.712,358.712,0.783,1.143,-36.998,-36.638,0.783,1.143,0.241,0.600,1,1,lock_on,attack_maneuver
3.400,86.617,86.619,86.699,86.695,5944.642,5972.551,5944.627,5944.604,358.698,343.756,358.699,358.699,0.682,1.043,-39.130,-38.769,0.682,1.042,0.115,0.475,1,1,lock_on,attack_maneuver
3.600,86.473,86.475,86.570,86.566,5944.716,5972.643,5944.701,5944.677,358.509,342.597,358.510,358.510,0.860,1.222,-41.273,-40.912,0.860,1.221,0.267,0.628,1,1,lock_on,attack_maneuver
3.800,86.330,86.332,86.443,86.439,5944.839,5972.261,5944.824,5944.800,358.488,341.395,358.488,358.488,0.751,1.112,-43.403,-43.041,0.750,1.112,0.129,0.491,1,1,lock_on,attack_maneuver
