Time_s,x3_B0100_m,y3_B0100_m,z3_B0100_m,x4_B0200_m,y4_B0200_m,z4_B0200_m,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,44538.062,-0.007,5940.763,44538.104,544.997,5940.739,89.073,89.075,89.075,89.073,5940.775,5940.790,5940.763,5940.739,365.339,365.676,365.339,365.339,0.011,0.362,-0.730,-0.379,0.011,0.362,0.348,0.002,1,1,lock_on,attack_maneuver
0.200,44465.055,-0.031,5941.213,44465.096,544.984,5941.190,88.927,88.929,88.929,88.927,5941.226,5941.388,5941.213,5941.190,364.728,365.443,364.728,364.728,0.215,0.566,-1.875,-1.524,0.215,0.566,0.145,0.206,1,1,lock_on,attack_maneuver
0.400,44392.160,-0.058,5941.703,44392.202,544.968,5941.680,88.782,88.783,88.783,88.781,5941.716,5942.836,5941.703,5941.680,364.276,364.779,364.276,364.276,0.145,0.497,-4.569,-4.218,0.145,0.497,0.216,0.136,1,1,lock_on,attack_maneuver
0.600,44319.366,-0.084,5942.123,44319.407,544.953,5942.099,88.636,88.638,88.638,88.636,5942.136,5945.334,5942.123,5942.099,363.658,363.686,363.658,363.658,0.333,0.685,-7.116,-6.764,0.333,0.685,0.030,0.322,1,1,lock_on,attack_maneuver
0.800,44246.685,-0.093,5942.562,44246.726,544.955,5942.538,88.491,88.492,88.493,88.491,5942.575,5948.413,5942.562,5942.538,363.213,362.346,363.213,363.213,0.244,0.597,-9.873,-9.520,0.244,0.597,0.122,0.230,1,1,lock_on,attack_maneuver
1.000,44174.102,-0.087,5942.920,44174.143,544.972,5942.897,88.346,88.347,88.348,88.346,5942.933,5951.672,5942.920,5942.897,362.608,360.855,362.609,362.609,0.426,0.779,-12.509,-12.156,0.426,0.779,0.054,0.407,1,1,lock_on,attack_maneuver
1.200,44101.628,-0.050,5943.293,44101.670,545.020,5943.270,88.201,88.202,88.204,88.202,5943.306,5954.775,5943.293,5943.270,362.184,359.382,362.184,362.184,0.325,0.679,-15.014,-14.660,0.325,0.679,0.054,0.300,1,1,lock_on,attack_maneuver
1.400,44029.248,0.013,5943.583,44029.289,545.094,5943.560,88.056,88.058,88.061,88.059,5943.597,5957.413,5943.583,5943.560,361.605,357.673,361.606,361.606,0.504,0.859,-17.419,-17.064,0.504,0.859,0.117,0.472,1,1,lock_on,attack_maneuver
1.600,43956.972,0.117,5943.887,43957.013,545.209,5943.863,87.911,87.913,87.920,87.917,5943.900,5959.563,5943.887,5943.863,361.214,355.844,361.215,361.215,0.395,0.750,-19.616,-19.260,0.395,0.750,0.003,0.352,1,1,lock_on,attack_maneuver
1.800,43884.781,0.255,5944.105,43884.822,545.358,5944.081,87.767,87.769,87.779,87.777,5944.118,5961.503,5944.105,5944.081,360.676,354.055,360.676,360.676,0.575,0.931,-21.759,-21.404,0.575,0.931,0.165,0.520,1,1,lock_on,attack_maneuver
