Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg
0.0,A0100,-44535.365083419194,0.006895017402712256,5940.775481285376,365.33902930284563,359.9888383984318,-0.46684319161921034,3.996719852276911
0.0,A0200,-44535.47458310485,558.5260142058542,5940.867482261334,363.6450153228866,0.21223810506919258,1.8386100281638547,3.8591178281737624
0.0,B0100,44538.06233662912,-0.006901973258209182,5940.762917571155,365.33907027808175,179.98883680978878,-0.466845641154591,3.996717903717481
0.0,B0200,44538.1259316954,545.013729284623,5940.924814226295,365.0457910110157,179.67142680364964,0.28380694679253143,-10.088186169117023
0.2,A0100,-44462.35746398843,0.03062083522308967,5941.225649183429,364.72758688109155,359.7852211943826,-0.35827266085525705,0.8332282238385281
0.2,A0200,-44463.010145115266,558.6443500897658,5942.564953135152,361.14977948884314,0.797102591590915,7.734053385476257,9.358924973373801
0.2,B0100,44465.03431380929,-0.02759392512780323,5941.090962328657,365.0446812921007,180.38374004543118,0.011830227932147804,17.790356571662976
0.2,B0200,44465.23321901579,545.2482365965443,5942.157593698186,364.002376021625,179.36647442653864,0.5951197677120544,-33.789509940310836
0.4,A0100,-44389.463246504754,0.057784557255217806,5941.716081961904,364.27616045701006,359.85485679262683,-0.6297137926742308,2.434420314183615
0.4,A0200,-44391.18322930656,559.125914713386,5946.262544089601,358.04971986827354,1.2800423202735336,9.054772732908287,14.97993275541312
0.4,B0100,44392.07039237691,-0.21318078071453783,5941.452306790146,364.4246076548303,181.23401626334103,2.393908595410875,23.036207958854295
0.4,B0200,44392.5853593435,546.1143384999923,5943.912710173259,362.63503934545264,177.30598860793881,2.1698509023315107,-57.7174497131393
0.6000000000000001,A0100,-44316.668912713765,0.08381211679807166,5942.135578364929,363.6577549285229,359.66706753189055,-0.468165248848441,-0.5883861642784637
0.6000000000000001,A0200,-44320.12465900984,560.2098353311958,5952.010957858609,354.9234116998215,2.36342210751428,11.417219904600868,20.920920381102835
0.6000000000000001,B0100,44319.30319666556,-1.0342312483408023,5942.987629567291,363.41455015730406,183.03699353951626,6.225838049129052,22.563859120260805
0.6000000000000001,B0200,44320.30227559991,548.7714891970827,5946.37729543696,361.10565703634154,172.0976624552699,4.269314078589163,-81.39793760308454
0.8,A0100,-44243.98792424652,0.09311351926953648,5942.574664366848,363.21295170860884,359.7555797770374,-0.7104946755905963,1.0855674019373964
0.8,A0200,-44249.92844304709,562.1546185769694,5959.81745143003,351.65763305554145,3.6081097978212173,13.24480210876509,27.08018779488154
0.8,B0100,44246.840248112465,-2.7854297010235314,5946.258278974485,362.20890715956676,184.53666608003527,8.322600508182983,35.85171072392815
0.8,B0200,44248.53944708376,554.1103138763865,5949.0448109119025,359.12259069422447,169.2461544024616,4.263864188550299,-92.01864873822532
1.0,A0100,-44171.4045926078,0.08691396632639226,5942.932969776892,362.6083930357073,359.57401428696164,-0.5405088518126757,-1.826106488530482
1.0,A0200,-44180.70622398196,565.2009003622479,5969.638787068907,348.10748322159566,4.746495718927584,14.98858051988211,24.386600579161517
1.0,B0100,44174.75887304413,-5.868732603699755,5951.068465235225,360.8924009655213,186.446782606177,9.48877820067295,56.662373400803496
1.0,B0200,44177.27453347601,561.870849537614,5951.526389543298,358.41988154655746,168.98228711323137,3.9076172297557545,-78.30285855005124
1.2000000000000002,A0100,-44098.93122150431,0.049666538940073224,5943.306378175686,362.18397070071006,359.6751192197644,-0.7749377339227375,-0.11909955003405001
1.2000000000000002,A0200,-44112.63996806358,569.285899029117,5981.692210885316,344.4263898814806,5.5111581694780165,16.814350667838628,9.99867034925574
1.2000000000000002,B0100,44103.14281857808,-10.826680528471115,5956.99562030267,359.40021371255006,188.82342384172335,10.07892945215093,68.72547234353338
1.2000000000000002,B0200,44106.21475863429,570.8427006177681,5953.948707097672,358.3175048249527,173.30052961883558,2.2698938147389174,-57.799042904804125
1.4000000000000001,A0100,-44026.550899048394,-0.013185831398004666,5943.596511536289,361.60547514102825,359.4956948370384,-0.6062575791205457,-2.953220026355477
1.4000000000000001,A0200,-44045.809857755274,573.8165100510341,5996.067900437991,340.654825981736,5.109129399255457,18.909823191951073,-9.405413447886351
1.4000000000000001,B0100,44032.10783019692,-18.058207466865497,5963.707144067852,357.80609418646725,191.3647307508293,10.140781281224333,75.99751858358303
1.4000000000000001,B0200,44035.125958085235,579.757194784368,5955.983515646934,358.38847406551184,175.55680585355455,0.19278928802528314,-37.48663761381196
1.6,A0100,-43954.27467707027,-0.11788586085094721,5943.899825321016,361.2142518966758,359.6053836969827,-0.8371392480640393,-1.238024923025063
