time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.079,149.735,-0.768,359.973,248.918
1.000,0.161,199.652,-0.748,0.052,248.220
1.200,0.327,249.437,-0.289,0.067,247.409
1.400,0.555,299.085,0.612,0.130,246.679
1.600,0.814,348.616,1.865,0.329,246.046
1.800,1.110,398.052,3.391,0.174,245.373
2.000,1.419,447.351,5.343,0.106,244.734
2.200,1.736,496.539,7.630,0.175,244.132
2.400,2.081,545.581,10.374,359.966,243.450
2.600,2.423,594.432,13.726,359.940,242.801
2.800,2.754,643.145,17.478,0.066,242.539
3.000,3.096,691.759,21.436,359.975,243.238
3.200,3.458,740.311,25.439,359.512,243.382
3.400,3.810,788.801,29.350,359.364,242.859
3.600,4.147,837.261,32.907,359.581,242.784
3.800,4.491,885.698,36.292,359.720,242.435
4.000,4.850,934.028,40.040,359.621,241.142
4.200,5.129,982.183,44.425,359.630,240.104
4.400,5.272,1030.179,49.364,359.464,238.220
4.600,5.315,1078.027,54.824,359.312,235.296
4.800,5.340,1125.688,61.017,359.642,232.911
5.000,5.481,1173.067,68.259,0.064,231.985
5.200,5.787,1220.106,76.581,0.094,234.032
5.400,6.186,1266.943,85.660,359.957,236.502
5.600,6.593,1313.662,95.263,0.182,238.157
5.800,6.991,1360.461,104.862,0.725,239.195
6.000,7.408,1407.471,114.046,0.950,239.546
6.200,7.834,1454.681,122.659,0.679,239.228
6.400,8.237,1502.058,130.571,359.989,238.341
6.600,8.585,1549.519,137.669,359.842,237.465
6.800,8.895,1597.060,143.762,0.294,238.776
7.000,9.198,1644.731,149.191,0.868,240.122
7.200,9.540,1692.489,154.464,1.758,239.200
7.400,10.004,1740.257,160.010,2.420,237.354
7.600,10.624,1787.933,166.136,2.300,237.919
7.800,11.338,1835.580,172.668,1.856,239.797
8.000,12.071,1883.246,179.442,1.906,240.910
