Time_s,Agent_ID,Radar_Type,Status,Target_ID,Target_Distance_km,SNR_dB,Doppler_Shift_m_s,Lock_Quality,Beam_Angle_deg,Side
0.2,A0100,AN/APG-68(V)9,SEARCH,B0100,89.07353136344337,0.0,0.0,0.0,0.0,Friendly
0.2,A0200,AN/APG-68(V)9,SEARCH,B0200,89.07349927846971,0.0,0.0,0.0,0.0,Friendly
0.2,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.2,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.4,A0100,AN/APG-68(V)9,SEARCH,B0100,88.92789004638898,0.0,0.0,0.0,0.0,Friendly
0.4,A0200,AN/APG-68(V)9,SEARCH,B0200,88.92761690358347,0.0,0.0,0.0,0.0,Friendly
0.4,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.4,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0100,88.7829182025709,0.0,0.0,0.0,0.0,Friendly
0.6000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0200,88.78208878443432,0.0,0.0,0.0,0.0,Friendly
0.6000000000000001,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.6000000000000001,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.8,A0100,AN/APG-68(V)9,SEARCH,B0100,88.63880590225173,0.0,0.0,0.0,0.0,Friendly
0.8,A0200,AN/APG-68(V)9,SEARCH,B0200,88.63702326314387,0.0,0.0,0.0,0.0,Friendly
0.8,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
0.8,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.0,A0100,AN/APG-68(V)9,SEARCH,B0100,88.49549921344,0.0,0.0,0.0,0.0,Friendly
1.0,A0200,AN/APG-68(V)9,SEARCH,B0200,88.4925195666667,0.0,0.0,0.0,0.0,Friendly
1.0,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.0,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,A0100,AN/APG-68(V)9,SEARCH,B0100,88.35289755834515,0.0,0.0,0.0,0.0,Friendly
1.2000000000000002,A0200,AN/APG-68(V)9,SEARCH,B0200,88.34871868341752,0.0,0.0,0.0,0.0,Friendly
1.2000000000000002,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.2000000000000002,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,A0100,AN/APG-68(V)9,SEARCH,B0200,88.21038143420208,0.0,0.0,0.0,0.0,Friendly
1.4000000000000001,A0200,AN/APG-68(V)9,SEARCH,B0200,88.20574620273887,0.0,0.0,0.0,0.0,Friendly
1.4000000000000001,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.4000000000000001,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.6,A0100,AN/APG-68(V)9,SEARCH,B0200,88.068512453729,0.0,0.0,0.0,0.0,Friendly
1.6,A0200,AN/APG-68(V)9,SEARCH,B0200,88.06368614198828,0.0,0.0,0.0,0.0,Friendly
1.6,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.6,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.8,A0100,AN/APG-68(V)9,SEARCH,B0200,87.92759656499632,0.0,0.0,0.0,0.0,Friendly
1.8,A0200,AN/APG-68(V)9,SEARCH,B0200,87.92250417148348,0.0,0.0,0.0,0.0,Friendly
1.8,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
1.8,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.0,A0100,AN/APG-68(V)9,SEARCH,B0200,87.7877028741474,0.0,0.0,0.0,0.0,Friendly
2.0,A0200,AN/APG-68(V)9,SEARCH,B0200,87.78213918059834,0.0,0.0,0.0,0.0,Friendly
2.0,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.0,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.2,A0100,AN/APG-68(V)9,SEARCH,B0200,87.64888260243626,0.0,0.0,0.0,0.0,Friendly
2.2,A0200,AN/APG-68(V)9,SEARCH,B0200,87.64280462585789,0.0,0.0,0.0,0.0,Friendly
2.2,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.2,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,A0100,AN/APG-68(V)9,SEARCH,B0200,87.51136369637275,0.0,0.0,0.0,0.0,Friendly
2.4000000000000004,A0200,AN/APG-68(V)9,SEARCH,B0200,87.50462675560735,0.0,0.0,0.0,0.0,Friendly
2.4000000000000004,B0100,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.4000000000000004,B0200,N001VE,SEARCH,None,0.0,0.0,0.0,0.0,0.0,Enemy
2.6,A0100,AN/APG-68(V)9,SEARCH,B0200,87.37545485555025,0.0,0.0,0.0,0.0,Friendly
